2025-07-07 23:12:56,545 INFO    MainThread:12731 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-07-07 23:12:56,546 INFO    MainThread:12731 [wandb_setup.py:_flush():80] Configure stats pid to 12731
2025-07-07 23:12:56,546 INFO    MainThread:12731 [wandb_setup.py:_flush():80] Loading settings from /root/.config/wandb/settings
2025-07-07 23:12:56,546 INFO    MainThread:12731 [wandb_setup.py:_flush():80] Loading settings from /root/rg_obfuscation/wandb/settings
2025-07-07 23:12:56,546 INFO    MainThread:12731 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-07-07 23:12:56,546 INFO    MainThread:12731 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /root/rg_obfuscation/wandb/run-20250707_231256-e15vtlvh/logs/debug.log
2025-07-07 23:12:56,546 INFO    MainThread:12731 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /root/rg_obfuscation/wandb/run-20250707_231256-e15vtlvh/logs/debug-internal.log
2025-07-07 23:12:56,546 INFO    MainThread:12731 [wandb_init.py:init():830] calling init triggers
2025-07-07 23:12:56,546 INFO    MainThread:12731 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'model_name': 'Qwen/Qwen3-4B', 'task_name': 'leg_counting', 'custom_verifier_path': None, 'batch_size': 8, 'learning_rate': '1e-5', 'num_episodes': 10000, 'wandb_project': 'qwen3-reinforce-reasongym', 'wandb_entity': None, 'use_kl_penalty': True, 'min_thinking_tokens': 0, 'max_thinking_tokens': 32, 'max_new_tokens': 64, 'seed': 42, 'device': 'cuda', '_wandb': {}}
2025-07-07 23:12:56,546 INFO    MainThread:12731 [wandb_init.py:init():871] starting backend
2025-07-07 23:12:56,753 INFO    MainThread:12731 [wandb_init.py:init():874] sending inform_init request
2025-07-07 23:12:56,759 INFO    MainThread:12731 [wandb_init.py:init():882] backend started and connected
2025-07-07 23:12:56,761 INFO    MainThread:12731 [wandb_init.py:init():953] updated telemetry
2025-07-07 23:12:56,763 INFO    MainThread:12731 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-07-07 23:12:57,478 INFO    MainThread:12731 [wandb_init.py:init():1029] starting run threads in backend
2025-07-07 23:12:57,660 INFO    MainThread:12731 [wandb_run.py:_console_start():2458] atexit reg
2025-07-07 23:12:57,660 INFO    MainThread:12731 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-07-07 23:12:57,660 INFO    MainThread:12731 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-07-07 23:12:57,660 INFO    MainThread:12731 [wandb_run.py:_redirect():2398] Redirects installed.
2025-07-07 23:12:57,661 INFO    MainThread:12731 [wandb_init.py:init():1075] run started, returning control to user process
2025-07-07 23:12:57,859 INFO    MsgRouterThr:12731 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
